Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Name_Numerical
fortuner,2012,14.9,30.61,104707,1,0,1,0,15
ritz,2012,3.1,5.98,51439,1,0,0,0,0
camry,2006,2.5,23.73,142000,0,1,1,3,23
brio,2015,5.4,6.1,31427,0,0,0,0,95
Honda CB Shine,2007,0.12,0.58,53000,0,1,0,0,74
etios cross,2015,4.5,7.7,40588,0,0,0,0,18
Bajaj  ct 100,2015,0.18,0.32,35000,0,1,0,0,85
Royal Enfield Classic 350,2013,1.0,1.47,46500,0,1,0,0,29
corolla altis,2012,5.85,18.61,72000,0,0,0,0,17
elantra,2015,11.45,14.79,12900,0,0,1,0,91
Hero Extreme,2014,0.55,0.787,15000,0,1,0,0,46
Honda Activa 4G,2017,0.45,0.51,4000,0,1,1,0,56
ertiga,2014,6.0,9.95,45000,1,0,0,0,8
ciaz,2015,7.45,8.92,42367,1,0,0,0,2
city,2016,10.11,13.6,10980,0,0,0,0,94
i10,2013,4.0,4.6,30000,0,0,0,0,88
city,2015,8.4,13.6,34000,0,0,0,0,94
wagon r,2015,3.25,5.09,35500,2,0,0,0,3
eon,2016,2.9,4.43,12500,0,0,0,0,89
swift,2011,3.0,4.99,20000,0,0,0,0,4
Bajaj Pulsar 150,2015,0.65,0.74,5000,0,1,0,0,44
brio,2017,4.8,5.8,19000,0,0,0,0,95
Hero Passion X pro,2016,0.5,0.55,31000,0,1,0,0,53
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,0,1,0,0,41
city,2016,9.15,13.6,29223,0,0,0,0,94
sx4,2003,2.25,7.98,62000,0,0,0,0,1
etios liva,2014,4.75,6.95,45000,1,0,0,0,20
sx4,2011,4.4,8.01,50000,0,0,1,0,1
UM Renegade Mojave,2017,1.7,1.82,1400,0,1,0,0,26
innova,2015,12.5,13.46,38000,1,0,0,0,16
city,2017,11.5,12.5,9000,1,0,0,0,94
innova,2005,3.49,13.46,197176,1,0,0,0,16
i10,2011,2.7,4.6,22517,0,0,0,0,88
verna,2015,5.95,9.4,36000,0,0,0,0,93
Honda Karizma,2010,0.31,1.05,213000,0,1,0,0,69
verna,2012,5.2,9.4,71000,1,0,0,0,93
city,2016,10.9,13.6,30753,0,0,1,0,94
Royal Enfield Classic 350,2017,1.35,1.47,4100,0,1,0,0,29
grand i10,2015,4.4,5.7,28200,0,0,0,0,87
Hero  CBZ Xtreme,2008,0.2,0.787,50000,0,1,0,0,84
KTM RC390,2015,1.35,2.37,21700,0,1,0,0,30
ciaz,2015,7.5,9.94,15000,0,0,1,0,2
i20,2014,6.0,7.6,77632,1,0,0,0,86
amaze,2014,4.5,6.4,19000,0,0,0,0,96
alto k10,2014,2.5,3.46,45280,0,0,0,0,10
corolla altis,2016,14.73,14.89,23000,1,0,0,0,17
i20,2017,7.9,8.1,3435,0,0,0,0,86
ertiga,2016,7.75,10.79,43000,1,0,0,0,8
swift,2014,4.95,7.49,39000,1,0,0,0,4
i20,2016,6.25,7.6,7000,0,0,0,0,86
amaze,2014,3.9,7.0,36054,0,0,0,0,96
corolla altis,2009,3.8,18.61,62000,0,0,0,0,17
corolla altis,2011,4.35,13.74,88000,0,0,0,0,17
etios g,2014,4.75,6.76,40000,0,0,0,0,19
Royal Enfield Classic 350,2013,1.1,1.47,33000,0,1,0,0,29
city,2016,8.99,11.8,9010,0,0,0,0,94
i10,2011,2.95,4.6,53460,0,0,0,0,88
i20,2011,2.9,6.79,31604,0,0,0,0,86
verna,2012,5.35,9.4,32322,1,0,0,0,93
TVS Apache RTR 160,2014,0.42,0.81,42000,0,1,0,0,43
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,0,1,0,0,49
Royal Enfield Classic 500,2009,0.9,1.75,40000,0,1,0,0,37
fortuner,2017,33.0,36.23,6000,1,0,1,0,15
ciaz,2016,8.75,8.89,20273,1,0,0,0,2
city,2016,10.25,13.6,49562,0,0,0,0,94
dzire,2015,4.65,7.2,48767,0,0,0,0,9
baleno,2016,5.85,7.87,24524,0,0,1,0,13
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,0,1,0,0,49
Honda CB Shine,2013,0.3,0.58,30000,0,1,0,0,74
etios liva,2011,2.65,5.71,43000,0,0,0,0,20
ignis,2017,4.9,5.71,2400,0,0,0,0,11
i20,2012,3.1,6.79,52132,1,0,0,0,86
ertiga,2015,6.1,7.71,26000,0,0,0,0,8
brio,2016,5.5,5.97,5600,0,0,0,0,95
verna,2013,5.11,9.4,36198,0,0,1,0,93
ciaz,2017,7.25,9.85,6900,0,0,0,0,2
Royal Enfield Thunder 350,2016,1.2,1.5,18000,0,1,0,0,32
Honda CB Unicorn,2015,0.38,0.72,38600,0,1,0,0,67
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,0,1,0,0,65
amaze,2015,4.0,5.8,40023,0,0,0,0,96
fortuner,2013,16.0,30.61,135000,1,1,1,0,15
eon,2015,2.75,4.43,28282,0,0,0,0,89
Royal Enfield Thunder 500,2015,1.1,1.9,14000,0,1,0,0,25
Royal Enfield Thunder 500,2013,1.05,1.9,5400,0,1,0,0,25
city,2016,9.5,11.6,33988,1,0,0,0,94
city,2015,7.5,10.0,27600,0,0,0,0,94
Bajaj Discover 100,2013,0.27,0.47,21000,0,1,0,0,75
